Comparison,Z,P.unadj,P.adj
Group1_K1 - Group3_K1,-4.823825247105939,1.4083081785092285e-6,9.294833978160908e-5
Group1_K2 - Group3_K1,-4.080998698486676,4.484260621550531e-5,0.0029596120102233503
Group2_K1 - Group3_K1,-3.5046721543200765,4.5716988332550703e-4,0.030173212299483464
Group1_K1 - Group3_K2,-4.478155665387676,7.5290693113108685e-6,4.969185745465173e-4
Group1_K2 - Group3_K2,-3.7353291167684124,1.8746984612275333e-4,0.01237300984410172
Group1_K1 - Group3_K3,-4.377747929895991,1.1991191919185362e-5,7.914186666662338e-4
Group1_K2 - Group3_K3,-3.634921381276728,2.78065419479027e-4,0.018352317685615783
Group1_K1 - Group3_K4,-4.043593333182982,5.263818807758601e-5,0.003474120413120677
