Comparison,Z,P.unadj,P.adj
Group1_K1 - Group3_K2,-4.5827732151429,4.588495977413425e-6,3.0284073450928604e-4
Group1_K2 - Group3_K2,-4.230246512403749,2.334353598773675e-5,0.0015406733751906255
Group2_K2 - Group3_K2,-3.8403692816246537,1.228493734953136e-4,0.008108058650690697
Group1_K1 - Group3_K3,-4.02164295712384,5.779361543960986e-5,0.0038143786190142507
Group1_K2 - Group3_K3,-3.669116254384688,2.4339038732268533e-4,0.016063765563297232
Group2_K2 - Group3_K3,-3.4591563390334854,5.418702801144315e-4,0.03576343848755248
