"","Model 7","Model 8","Model 9","Model 10"
"Model 7","","0.0171695758023254; 0.305672228777331; 0.122743909725378; 0.606629293349055; 0.698998680650602; 0.963536605407985; 0.20424640129716; 0.648727329990691","0.00753725233902625; 0.0104056474195995; 0.0297045999576128; 0.909891961116107; 0.332575073010462; 0.159952919711793; 0.0605678012703809; 0.0647692729364184","0.000484721250179147; 0.0194973108263769; 0.000850958978523742; 0.0478897979709415; 0.00212938594003408; 0.0182218134270951; 0.00101535303906461; 0.000294651165687822"
"Model 8","","","0.589172296027918; 0.152514174455719; 0.378742191915402; 0.73878366047471; 0.660000976665442; 0.157299207050285; 0.669615944201046; 0.168843131983479","0.0498721500585938; 0.0801906912620125; 0.00371080239066309; 0.00354779322232241; 0.0215171973197857; 0.0421218511789995; 0.0282949662902311; 0.00117948297787946"
"Model 9","","","","0.153623300518459; 0.517801164151672; 0.0841246208440851; 0.059552285587704; 0.0567220235882276; 0.418378643075027; 0.0896379402765868; 0.0974931687169163"
"Model 10","","","",""
