"","Model 14","Model 15","Model 16","Model 17"
"Model 14","","0.923240081483153; 0.0935380001435228; 0.952678001353521; 0.575306543445835; 0.875784180736962; 0.999008741789221; 0.518552848443915; 0.605569971451465","0.80962319178514; 0.159183660023994; 0.847912605837265; 0.0905656702970096; 0.294416346243299; 0.403600921281231; 0.296251762098643; 0.0328381107958909","0.0131911790426719; 0.0280559846652027; 0.0240115080435721; 0.550593910881918; 0.00315857420683345; 0.0424042921872779; 0.0167683318402246; 0.0118115776572921"
"Model 15","","","0.930018910282843; 0.969401488595545; 0.92640525345086; 0.221753731843936; 0.488220036045573; 0.617602022001732; 0.149635903741577; 0.110852315535943","0.0196024213459698; 0.214538485681369; 0.047047366411274; 0.337179332986777; 0.013744715670742; 0.0340956544602528; 0.0871258198705714; 0.0132095626778448"
"Model 16","","","","0.0694509069084097; 0.465446866142073; 0.0713760096195015; 0.0471249114193887; 0.00076866742630816; 0.0121212026272313; 0.00283749487037339; 2.14066285879313e-05"
"Model 17","","","",""
